mês;SM (Estação Caparaó);Série Histórica (2007-2019) e DP;sd_SM;BM (Estação Pedro do Rio);Série Histórica (2007-2019) e DP;sd_BM;SB (Estação PARNASO);Série Histórica (2007-2019) e DP;sd_SB
43872;336;119.9117166;58.82181699;316.8;140.1606557;66.44827236;299.2;202.347656;118.8727606
43841;514.4;177.9891089;140.3405891;269;260.8373762;85.93495407;590.8;411.870297;186.205769
43810;235.8;283.6692308;122.6810586;248.7;202.2923077;87.54094832;335.4;398.8;146.7302496
43780;319;225.6461538;95.25772018;106.5;184.3923077;54.646352;358.6;410.7538462;114.0190039
43749;57.6;96.5;41.64278495;109.6;96.71538462;47.39817988;142.8;230.7384615;106.1849587
43719;21.4;44.53846154;35.15249282;69.9;48.86153846;35.74302597;260.8;136.8153846;61.04628567
43688;14.1;17.00769231;20.25603278;8.4;14.77692308;17.78729684;181.8;87.53692385;52.26606851
43657;0;9.253846154;11.38268695;10.6;20.76923077;20.68356407;31.2;84.58461538;59.28914606
43627;3.5;14.25384615;19.35182819;30.9;25.73846154;23.16361665;38.8;105.9640103;59.43527134
43596;23.5;45.13076923;35.8406384;51;38.40769231;19.31724863;313.8;150.1874549;69.93681381
43566;149.4;96.65384615;38.76161097;39.6;62.93076923;30.26316331;196.8;244.4461538;100.812977
43535;158.8;185.9153846;120.9469804;127.5;179.225;63.63624437;569;371.1076923;147.0306847
43507;180.6;119.9117166;58.82181699;237.2;140.1606557;66.44827236;396.4;202.347656;118.8727606
43476;7.8;177.9891089;140.3405891;149.4;260.8373762;85.93495407;230;411.870297;186.205769
43445;248.5;283.6692308;122.6810586;68.9;202.2923077;87.54094832;426.6;398.8;146.7302496
43415;164.7;225.6461538;95.25772018;113.8;184.3923077;54.646352;348.6;410.7538462;114.0190039
43384;141.1;96.5;41.64278495;44.5;96.71538462;47.39817988;300.8;230.7384615;106.1849587
43354;53.9;44.53846154;35.15249282;114;48.86153846;35.74302597;115.4;136.8153846;61.04628567
43323;73;17.00769231;20.25603278;69.5;14.77692308;17.78729684;141.4;87.53692385;52.26606851
43292;1.6;9.253846154;11.38268695;6.1;20.76923077;20.68356407;56.8;84.58461538;59.28914606
43262;0;14.25384615;19.35182819;2.8;25.73846154;23.16361665;84.4;105.9640103;59.43527134
43231;35.7;45.13076923;35.8406384;40.6;38.40769231;19.31724863;241;150.1874549;69.93681381
43201;155.6;96.65384615;38.76161097;86.5;62.93076923;30.26316331;218;244.4461538;100.812977
43170;406.3;185.9153846;120.9469804;243.6;179.225;63.63624437;533.4;371.1076923;147.0306847
43159;210.1;119.9117166;58.82181699;166.7;140.1606557;66.44827236;299.2;202.347656;118.8727606
43101;147.2;177.9891089;140.3405891;255.9;260.8373762;130.5395893;491.8;411.870297;186.205769
